"Room Number","Reservation ID","Room Base Price","Reservation Cost For Room"
201,4,199.99,199.99
202,7,174.99,349.98
203,2,199.99,999.95
203,20,199.99,399.98
204,15,174.99,184.99
205,14,174.99,699.96
206,12,149.99,599.96
206,22,149.99,449.97
207,10,174.99,174.99
208,12,149.99,599.96
208,19,149.99,149.99
301,9,199.99,799.96
301,22,199.99,599.97
302,6,174.99,924.95
302,23,174.99,699.96
303,17,199.99,199.99
304,13,174.99,184.99
305,3,174.99,349.98
305,18,174.99,349.98
306,NULL,149.99,NULL
307,5,174.99,524.97
308,1,149.99,299.98
401,11,399.99,1199.97
401,16,399.99,1259.97
401,21,399.99,1199.97
402,NULL,399.99,NULL
